1;1; Eraikin berria (0 solairua)
2;1; Eraikin berria (1 solairua eta solariuma)
3;1; Kantxa urdiña (pasilloa eta aldagelak, garbiketa gela)
4;1; Kanpo instalazioak (igogailuak, eskailerak, tenis, Fitbike eta Rooftop)
5;2; Instalazioaren eremu orokorra
6;2; Aldagela zaharrak
7;2; Aldagela berriak
8;2; Taberna
9;1;Kantxa berdea (pista eta korrederak)
10;1;Kantxa berdea (medikuntza, pasilloa eta aldagelak)
11;1;Kantxa berdea (harmailak)
12;1;Frontoia (pasilloa, pista, harmailak eta biltegiak)
13;1;Kantxa urdiña (pista eta biltegia)
14;1;Kantxa urdiña (harmailak)
